!SIL 1.0	sil
<UNK> 1.0	spn
zdecydowanych	1.0	z d e c i2 d o v a n i2 h
tymi	1.0	t i2 m i
wyładniała	1.0	v i2 w a d n i a w a
nowy	1.0	n o v i2
lęków	1.0	l eo5 k u v
widać	1.0	v i d a tsj
spopielałych	1.0	s p o p i e l a w i2 h
napisał	1.0	n a p i s a w
przykłady	1.0	p S i2 k w a d i2
18	1.0	s t e
teatrze	1.0	t e a t S e
wyżej	1.0	v i2 Z e j
jadowitego	1.0	j a d o v i t e g o
aktorki	1.0	a k t o r k i
formosus	1.0	f o r m o s u s
napotkanego	1.0	n a p o t k a n e g o
nocy	1.0	n o c i2
botanik	1.0	b o t a n i k
zadbać	1.0	z a d b a tsj
dobroczynne	1.0	d o b r o tS i2 n n e
okresie	1.0	o k r e sj e
wybacza	1.0	v i2 b a tS a
dekoracja	1.0	d e k o r a c j a
równolegle	1.0	r u v n o l e g l e
ucho	1.0	u h o
procesy	1.0	p r o c e s i2
1930)-	1.0	v i eo5 t o e
rybka	1.0	r i2 b k a
styl	1.0	s t i2 l
zajęcia	1.0	z a j eo5 tsj a
oparty	1.0	o p a r t i2
odwagę	1.0	o d v a g e
dołącz	1.0	d o w oc5 tS
płeć	1.0	p w e tsj
wieprz	1.0	v i e p S
wy	1.0	v i2
nieustannie	1.0	n i e u s t a n n i e
sekwencję	1.0	s e k f e n c j e
postęp	1.0	p o s t eo5 p
wykryć	1.0	v i2 k r i2 tsj
zbudowałem	1.0	z b u d o v a w e m
warianowa	1.0	v a r j a n o v a
pochyla	1.0	p o h i2 l a
podrywał	1.0	p o d r i2 v a w
twórcza	1.0	t f u r tS a
uczeńców	1.0	u tS e n~ c u v
ducha	1.0	d u h a
przytoczyć	1.0	p S i2 t o tS i2 tsj
zagarnąć	1.0	z a g a r n oc5 tsj
najtrudniejszych	1.0	n a j t r u d n i e j S i2 h
modlitwie	1.0	m o d l j t f i e
larry	1.0	l a r r i2
marcel	1.0	m a r c e l
przeciwnika	1.0	p S e tsj i v n i k a
wojennik	1.0	v o j e n n i k
miejscu	1.0	m i e j s c u
rację	1.0	r a c j e
nieładzie	1.0	n i e w a dzj e
henryka	1.0	h e n r i2 k a
przerywamy	1.0	p S e r i2 v a m i2
niewielka	1.0	n i e v i e l k a
chcieli	1.0	h tsj e l j
tercjami	1.0	t e r c j a m i
głębi	1.0	g w eo5 b i
chodziłem	1.0	h o dzj i w e m
zaprząta	1.0	z a p S oc5 t a
pszczoły	1.0	p S tS o w i2
magiczna	1.0	m a g i tS n a
gazety	1.0	g a z e t i2
pokaż	1.0	p o k a S
narodzin	1.0	n a r o dzj i n
jonatana	1.0	j o n a t a n a
końców	1.0	k o n~ c u v
burdel	1.0	b u r d e l
pazura	1.0	p a z u r a
program	1.0	p r o g r a m
lepiej	1.0	l e p i e j
ramieniu	1.0	r a m i e n i u
rock	1.0	r o c k
powietrze	1.0	p o v i e t S e
poniekąd	1.0	p o n i e k oc5 d
widywać	1.0	v i d i2 v a tsj
podobałaś	1.0	p o d o b a w a sj
dwóch	1.0	d v u h
dziękuje	1.0	dzj eo5 k u j e
wyprzedaże	1.0	v i2 p S e d a Z e
polach	1.0	p o l a h
raduje	1.0	r a d u j e
obitej	1.0	o b i t e j
prozaiczne	1.0	p r o z a i tS n e
arcydziełem	1.0	a r c i2 dzj e w e m
sypkie	1.0	s i2 p k i e
orderu	1.0	o r d e r u
al-afghani	1.0	a l a f g h a n i
nieruchomego	1.0	n i e r u h o m e g o
dziękowali	1.0	dzj eo5 k o v a l j
wytrwałych	1.0	v i2 t r v a w i2 h
miejscem	1.0	m i e j s c e m
szans	1.0	S a n s
wszystko	1.0	v S i2 s t k o
okazało	1.0	o k a z a w o
przekraczają	1.0	p S e k r a tS a j oc5
wyrażające	1.0	v i2 r a Z a j oc5 c e
instalowany	1.0	i n s t a l o v a n i2
księciem	1.0	k sj eo5 tsj e m
studenci	1.0	s t u d e n tsj i
pewność	1.0	p e v n o sj tsj
fizycznego	1.0	f i z i2 tS n e g o
mąkę	1.0	m oc5 k e
odnośnik	1.0	o d n o sj n i k
odróżnieniu	1.0	o d r u Z n i e n i u
room	1.0	r o o m
półwysep	1.0	p u w v i2 s e p
rzekę	1.0	Z e k e
al-jihad	1.0	a l j j h a d
głowie	1.0	g w o v i e
wszechistnienie	1.0	v S e h i s t n i e n i e
leżał	1.0	l e Z a w
wielokroć	1.0	v i e l o k r o tsj
9	1.0	eo5 tsj
rozpocząłeś	1.0	r o z p o tS oc5 w e sj
zerwał	1.0	z e r v a w
berenta	1.0	b e r e n t a
konsekwencje	1.0	k o n s e k f e n c j e
pojawiać	1.0	p o j a v i a tsj
kilkunastu	1.0	k i l k u n a s t u
płakałam	1.0	p w a k a w a m
życzliwemu	1.0	Z i2 tS l j v e m u
kilogramów	1.0	k i l o g r a m u v
wojciech	1.0	v o j tsj e h
waszą	1.0	v a S oc5
szpulowych	1.0	S p u l o v i2 h
tysiąc	1.0	t i2 tsj oc5 c
kinie	1.0	k i n i e
postaramy	1.0	p o s t a r a m i2
przedmiotów-	1.0	p S e d m i o t u v
zamieszczają	1.0	z a m i e S tS a j oc5
głośno	1.0	g w o sj n o
zainstalować	1.0	z a i n s t a l o v a tsj
pełnej	1.0	p e w n e j
oburącz	1.0	o b u r oc5 tS
makatek	1.0	m a k a t e k
całkowitego	1.0	c a w k o v i t e g o
poskramiającego	1.0	p o s k r a m i a j oc5 c e g o
bóg-	1.0	b u g e
ślubną	1.0	sj l u b n oc5
całemu	1.0	c a w e m u
światłu	1.0	sj v i a t w u
odwołując	1.0	o d v o w u j oc5 c
b-24	1.0	b e d tS t
pokłóciła	1.0	p o k w u tsj i w a
mały	1.0	m a w i2
striptiz	1.0	s t r j p t j z
byłby	1.0	b i2 w b i2
rzesze	1.0	Z e S e
umiem	1.0	u m i e m
najukochańsze	1.0	n a j u k o h a n~ S e
byli	1.0	b i2 l j
maksymy	1.0	m a k s i2 m i2
wrócić	1.0	v r u tsj i tsj
automatycznie	1.0	a u t o m a t i2 tS n i e
licząc	1.0	l j tS oc5 c
całkowitej	1.0	c a w k o v i t e j
zakładamy	1.0	z a k w a d a m i2
oniryczna	1.0	o n i r i2 tS n a
dźwiękowej	1.0	dzj v i eo5 k o v e j
zarys	1.0	z a r i2 s
dudniących	1.0	d u d n i oc5 c i2 h
ceglanymi	1.0	c e g l a n i2 m i
produkcję	1.0	p r o d u k c j e
byłeś	1.0	b i2 w e sj
jak	1.0	j a k
ją	1.0	j oc5
leży	1.0	l e Z i2
przyszedł	1.0	p S i2 S e d w
powinni	1.0	p o v i n n i
aktorką	1.0	a k t o r k oc5
dołączania	1.0	d o w oc5 tS a n i a
życzenia	1.0	Z i2 tS e n i a
porozmawiaj	1.0	p o r o z m a v i a j
czego	1.0	tS e g o
przyjaźniach	1.0	p S i2 j a zj n i a h
najwcześniejszy	1.0	n a j v tS e sj n i e j S i2
ukryte	1.0	u k r i2 t e
czułych	1.0	tS u w i2 h
dwa	1.0	d v a
bestsellerów	1.0	b e s t s e l l e r u v
osadzone	1.0	o s a dz o n e
piętnaście	1.0	p i eo5 t n a sj tsj e
krain	1.0	k r a i n
paolo	1.0	p a o l o
ulubiona	1.0	u l u b i o n a
nadzieję	1.0	n a dzj e j e
cenzorskich	1.0	c e n z o r s k i h
każdy	1.0	k a Z d i2
technologia	1.0	t e h n o l o g i a
dom	1.0	d o m
grudami	1.0	g r u d a m i
ujście	1.0	u j sj tsj e
elite	1.0	e l j t e
poza	1.0	p o z a
reguł	1.0	r e g u w
zwyczajnie	1.0	z v i2 tS a j n i e
ostro	1.0	o s t r o
ochoty	1.0	o h o t i2
warg	1.0	v a r g
oprzeć	1.0	o p S e tsj
eurydykę	1.0	e u r i2 d i2 k e
prawdą	1.0	p r a v d oc5
absolutny	1.0	a b s o l u t n i2
zasadza	1.0	z a s a dz a
wszystkich	1.0	v S i2 s t k i h
przecież	1.0	p S e tsj e S
katedr	1.0	k a t e d r
już	1.0	j u S
autorów	1.0	a u t o r u v
kręgach	1.0	k r eo5 g a h
sygnał	1.0	s i2 g n a w
zamieszczamy	1.0	z a m i e S tS a m i2
pozostawili	1.0	p o z o s t a v i l j
wypuścić	1.0	v i2 p u sj tsj i tsj
drugoligowy	1.0	d r u g o l j g o v i2
rozbudowanym	1.0	r o z b u d o v a n i2 m
palcami	1.0	p a l c a m i
bezprawia	1.0	b e z p r a v i a
sarabandę	1.0	s a r a b a n d e
tobą	1.0	t o b oc5
buckle'a	1.0	b u c k l e a
rękami	1.0	r eo5 k a m i
epp	1.0	e p p
iwo	1.0	i v o
dziś	1.0	dzj i sj
mnożenia	1.0	m n o Z e n i a
mniejsze	1.0	m n i e j S e
strażników	1.0	s t r a Z n i k u v
iluzyjnym	1.0	i l u z i2 j n i2 m
autentyczne	1.0	a u t e n t i2 tS n e
adorowali	1.0	a d o r o v a l j
długowłosych	1.0	d w u g o v w o s i2 h
momencie	1.0	m o m e n tsj e
ci	1.0	tsj i
autor	1.0	a u t o r
zapasowa	1.0	z a p a s o v a
znaków	1.0	z n a k u v
tajemnica	1.0	t a j e m n i c a
domową	1.0	d o m o v oc5
malezja	1.0	m a l e z j a
tę	1.0	t e
młotem	1.0	m w o t e m
organizmu	1.0	o r g a n i z m u
obszarów	1.0	o b S a r u v
kaset	1.0	k a s e t
pustą	1.0	p u s t oc5
błogosławiona	1.0	b w o g o s w a v i o n a
monako	1.0	m o n a k o
mała	1.0	m a w a
zł	1.0	z w
chrobrego	1.0	h r o b r e g o
maja	1.0	m a j a
wieczoru	1.0	v i e tS o r u
drewnianą	1.0	d r e v n i a n oc5
pomysł	1.0	p o m i2 s w
1918)-	1.0	v i eo5 t o o sj e
pragmatycznym	1.0	p r a g m a t i2 tS n i2 m
pisać	1.0	p i s a tsj
filmy	1.0	f i l m i2
pakietu	1.0	p a k i e t u
dobrem	1.0	d o b r e m
nadal	1.0	n a d a l
danie	1.0	d a n i e
dorównuje	1.0	d o r u v n u j e
lat-	1.0	l a t
korzystasz	1.0	k o Z i2 s t a S
obsesja	1.0	o b s e s j a
podtrzymuje	1.0	p o d t S i2 m u j e
powielać	1.0	p o v i e l a tsj
nbc	1.0	n b c
interwencji	1.0	i n t e r v e n c j i
historie	1.0	h j s t o r j e
warner	1.0	v a r n e r
nabierają	1.0	n a b i e r a j oc5
dolinę	1.0	d o l j n e
zbliżało	1.0	z b l j Z a w o
umyka	1.0	u m i2 k a
wpłynie	1.0	v p w i2 n i e
uśmiechnięty	1.0	u sj m i e h n i eo5 t i2
dotrzymaj	1.0	d o t S i2 m a j
terminów	1.0	t e r m i n u v
opiekunie	1.0	o p i e k u n i e
bądź	1.0	b oc5 dzj
chlubnie	1.0	h l u b n i e
czyni	1.0	tS i2 n i
wielką	1.0	v i e l k oc5
tego	1.0	t e g o
kanapie	1.0	k a n a p i e
maurice	1.0	m a u r j c e
wzdłuż	1.0	v z d w u S
sądzenia	1.0	s oc5 dz e n i a
jedna	1.0	j e d n a
obić	1.0	o b i tsj
niteczek	1.0	n i t e tS e k
zwierciadełka	1.0	z v i e r tsj a d e w k a
brzegu	1.0	b Z e g u
zaś-	1.0	z a sj e
skarbem	1.0	s k a r b e m
mogiły	1.0	m o g i w i2
polskim	1.0	p o l s k i m
momentom	1.0	m o m e n t o m
flood	1.0	f l o o d
będą	1.0	b eo5 d oc5
skalę	1.0	s k a l e
przekrwioną	1.0	p S e k r v i o n oc5
wersji	1.0	v e r s j i
cierpienie	1.0	tsj e r p i e n i e
będzie	1.0	b eo5 dzj e
pietrowicz	1.0	p i e t r o v i tS
naturalnym	1.0	n a t u r a l n i2 m
czarującego	1.0	tS a r u j oc5 c e g o
powrocie	1.0	p o v r o tsj e
cegiełką	1.0	c e g i e w k oc5
odkrywa	1.0	o t k r i2 v a
oprzyj	1.0	o p S i2 j
przekazywania	1.0	p S e k a z i2 v a n i a
twej	1.0	t f e j
nierychło	1.0	n i e r i2 h w o
praktykom	1.0	p r a k t i2 k o m
nikczemność	1.0	n i k tS e m n o sj tsj
osobliwy	1.0	o s o b l j v i2
postawienia	1.0	p o s t a v i e n i a
priorytetów	1.0	p r j o r i2 t e t u v
instrumentu	1.0	i n s t r u m e n t u
tajemniczy	1.0	t a j e m n i tS i2
poczucia	1.0	p o tS u tsj a
gorączkowo	1.0	g o r oc5 tS k o v o
ważne	1.0	v a Z n e
zosię	1.0	z o sj i e
kopia	1.0	k o p i a
zniszczone	1.0	z n i S tS o n e
stanowi	1.0	s t a n o v i
główną	1.0	g w u v n oc5
zły	1.0	z w i2
syna	1.0	s i2 n a
maryjo	1.0	m a r i2 j o
zanosimy	1.0	z a n o sj i m i2
sprawy	1.0	s p r a v i2
obywatel	1.0	o b i2 v a t e l
statek	1.0	s t a t e k
pogrążony	1.0	p o g r oc5 Z o n i2
poznała	1.0	p o z n a w a
najdoskonalszej	1.0	n a j d o s k o n a l S e j
puścili	1.0	p u sj tsj i l j
puckiej	1.0	p u c k i e j
nieśmiałą	1.0	n i e sj m i a w oc5
maria	1.0	m a r j a
niepowodzenia	1.0	n i e p o v o dz e n i a
cesarza	1.0	c e s a Z a
otchłanie	1.0	o t h w a n i e
mówicie	1.0	m u v i tsj e
kryształów	1.0	k r i2 S t a w u v
odsyłają	1.0	o d s i2 w a j oc5
liczbę	1.0	l j tS b e
niewyrażalne	1.0	n i e v i2 r a Z a l n e
niefrasobliwość	1.0	n i e f r a s o b l j v o sj tsj
szwedzcy	1.0	S v e dz c i2
mudżahedinów	1.0	m u dZ a h e d j n u v
zazwyczaj	1.0	z a z v i2 tS a j
pagóry	1.0	p a g u r i2
zachowania	1.0	z a h o v a n i a
grafa	1.0	g r a f a
tadlock	1.0	t a d l o c k
najniższego	1.0	n a j n i Z S e g o
udział	1.0	u dzj a w
władania	1.0	v w a d a n i a
zmyślone	1.0	z m i2 sj l o n e
tak-	1.0	t a k
piwnicą	1.0	p i v n i c oc5
wierzchu	1.0	v i e Z h u
kluczowych	1.0	k l u tS o v i2 h
najzupełniej	1.0	n a j z u p e w n i e j
przysyłali	1.0	p S i2 s i2 w a l j
marszczy	1.0	m a r S tS i2
księżyca	1.0	k sj eo5 Z i2 c a
złowieszczego	1.0	z w o v i e S tS e g o
wszędzie	1.0	v S eo5 dzj e
żałuję	1.0	Z a w u j e
talentem	1.0	t a l e n t e m
północy	1.0	p u w n o c i2
plotynie	1.0	p l o t i2 n i e
bratem	1.0	b r a t e m
patrzeć	1.0	p a t S e tsj
illustrated	1.0	i l l u s t r a t e d
głębin	1.0	g w eo5 b i n
człowiecza	1.0	tS w o v i e tS a
ułożyły	1.0	u w o Z i2 w i2
intrygującą	1.0	i n t r i2 g u j oc5 c oc5
przyszły	1.0	p S i2 S w i2
pociech	1.0	p o tsj e h
prawdziwych	1.0	p r a v dzj i v i2 h
osób	1.0	o s u b
chcące	1.0	h c oc5 c e
wycięto	1.0	v i2 tsj eo5 t o
błędu	1.0	b w eo5 d u
port)-	1.0	p o r t e
że	1.0	Z e
ni	1.0	n i
porażonej	1.0	p o r a Z o n e j
kierujące	1.0	k i e r u j oc5 c e
niej	1.0	n i e j
ojcu	1.0	o j c u
usta	1.0	u s t a
najwyższym	1.0	n a j v i2 Z S i2 m
zdarzają	1.0	z d a Z a j oc5
pełną	1.0	p e w n oc5
rozbiegany	1.0	r o z b i e g a n i2
źródeł	1.0	zj r u d e w
sport	1.0	s p o r t
cień	1.0	tsj e n~
odpowiedzią	1.0	o d p o v i e dzj oc5
aspekty	1.0	a s p e k t i2
stanowiska-	1.0	s t a n o v i s k a e
dał	1.0	d a w
stanu	1.0	s t a n u
okute	1.0	o k u t e
unicestwienia	1.0	u n i c e s t f i e n i a
antyutopii	1.0	a n t i2 u t o p i i
wyprawa	1.0	v i2 p r a v a
rzecz	1.0	Z e tS
herman-	1.0	h e r m a n
wyzwanie	1.0	v i2 z v a n i e
słowo	1.0	s w o v o
napadnięty	1.0	n a p a d n i eo5 t i2
ciepły	1.0	tsj e p w i2
deluxe	1.0	d e l u k s e
145	1.0	s t o tS n tsj
obywatele	1.0	o b i2 v a t e l e
zakonu	1.0	z a k o n u
prosił	1.0	p r o sj i w
polemizuje	1.0	p o l e m i z u j e
unoszą	1.0	u n o S oc5
najważniejsze	1.0	n a j v a Z n i e j S e
buying	1.0	b u i2 i n g
kijowskie	1.0	k i j o v s k i e
wolnego	1.0	v o l n e g o
zespołu	1.0	z e s p o w u
największą	1.0	n a j v i eo5 k S oc5
wód	1.0	v u d
stajennymi	1.0	s t a j e n n i2 m i
wroga-brata	1.0	v r o g a b r a t a
ciszy	1.0	tsj i S i2
jakimiś	1.0	j a k i m i sj
kreon	1.0	k r e o n
rzeczy	1.0	Z e tS i2
warsztatów	1.0	v a r S t a t u v
położeniami	1.0	p o w o Z e n i a m i
rzeczywistości	1.0	Z e tS i2 v i s t o sj tsj i
gram	1.0	g r a m
biologii	1.0	b i o l o g i i
naiwnie	1.0	n a i v n i e
mają	1.0	m a j oc5
ojcowskiej	1.0	o j c o v s k i e j
powstrzymało	1.0	p o v s t S i2 m a w o
kieszonkowy	1.0	k i e S o n k o v i2
żadnych	1.0	Z a d n i2 h
ile	1.0	i l e
szuka	1.0	S u k a
kontrowersyjne	1.0	k o n t r o v e r s i2 j n e
bezsenną	1.0	b e z s e n n oc5
strony	1.0	s t r o n i2
ciężko	1.0	tsj eo5 Z k o
użyj	1.0	u Z i2 j
sprostać	1.0	s p r o s t a tsj
odznaczać	1.0	o dz n a tS a tsj
biuro	1.0	b i u r o
sytuacji-	1.0	s i2 t u a c j i e
sukces	1.0	s u k c e s
pomyślnie	1.0	p o m i2 sj l n i e
pokochał	1.0	p o k o h a w
chrystusa	1.0	h r i2 s t u s a
linii	1.0	l j n i i
przystojna	1.0	p S i2 s t o j n a
serdeczne	1.0	s e r d e tS n e
opowiadały	1.0	o p o v i a d a w i2
najcieńszą	1.0	n a j tsj e n~ S oc5
zdeptana	1.0	z d e p t a n a
członka	1.0	tS w o n k a
światłem	1.0	sj v i a t w e m
radością	1.0	r a d o sj tsj oc5
uzbroić	1.0	u z b r o i tsj
swobodnie	1.0	s v o b o d n i e
spodziewać	1.0	s p o dzj e v a tsj
osła	1.0	o s w a
ziemie	1.0	zj e m i e
pomoc	1.0	p o m o c
skorzystania	1.0	s k o Z i2 s t a n i a
śmiała	1.0	sj m i a w a
1986	1.0	v i eo5 t sj oc5 tsj e
rad	1.0	r a d
błagajmy	1.0	b w a g a j m i2
przychodniów	1.0	p S i2 h o d n i u v
objawia	1.0	o b j a v i a
drugie	1.0	d r u g i e
zachowują	1.0	z a h o v u j oc5
danym	1.0	d a n i2 m
spędzone	1.0	s p eo5 dz o n e
żelaznej	1.0	Z e l a z n e j
karaibów	1.0	k a r a i b u v
zaczepia	1.0	z a tS e p i a
wrócimy	1.0	v r u tsj i m i2
naszym	1.0	n a S i2 m
trup	1.0	t r u p
autorowi	1.0	a u t o r o v i
mocnego	1.0	m o c n e g o
towarzyszyły	1.0	t o v a Z i2 S i2 w i2
środki	1.0	sj r o t k i
wrzącego	1.0	v Z oc5 c e g o
adu	1.0	a d u
pałaców	1.0	p a w a c u v
wymagań	1.0	v i2 m a g a n~
v-	1.0	f e
świadków	1.0	sj v i a t k u v
postanawia	1.0	p o s t a n a v i a
spania	1.0	s p a n i a
wystarczyło	1.0	v i2 s t a r tS i2 w o
krążku	1.0	k r oc5 Z k u
każdej	1.0	k a Z d e j
objawiające	1.0	o b j a v i a j oc5 c e
uśmiechem	1.0	u sj m i e h e m
poziom	1.0	p o zj o m
uprawia	1.0	u p r a v i a
naczyń	1.0	n a tS i2 n~
rozbudzi	1.0	r o z b u dzj i
wygląda	1.0	v i2 g l oc5 d a
prawdziwy	1.0	p r a v dzj i v i2
kościoły	1.0	k o sj tsj o w i2
skłaniać	1.0	s k w a n i a tsj
dawnej	1.0	d a v n e j
odcineczki	1.0	o d tsj i n e tS k i
kukuruźnikiem	1.0	k u k u r u zj n i k i e m
prowincji	1.0	p r o v i n c j i
biedronka	1.0	b i e d r o n k a
najdrobniejszym	1.0	n a j d r o b n i e j S i2 m
gospodarzem	1.0	g o s p o d a Z e m
wszyscy	1.0	v S i2 s c i2
ciekawsza	1.0	tsj e k a v S a
przypominamy	1.0	p S i2 p o m i n a m i2
interesującą	1.0	i n t e r e s u j oc5 c oc5
pośpiesznie	1.0	p o sj p i e S n i e
oglądałem	1.0	o g l oc5 d a w e m
połowie	1.0	p o w o v i e
leksykony	1.0	l e k s i2 k o n i2
powikłany	1.0	p o v i k w a n i2
eucharystię	1.0	e u h a r i2 s t j e
powołany	1.0	p o v o w a n i2
pc	1.0	p c
sakramentalnymi	1.0	s a k r a m e n t a l n i2 m i
film	1.0	f i l m
eurydyki	1.0	e u r i2 d i2 k i
zaledwie	1.0	z a l e d v i e
paradoks	1.0	p a r a d o k s
ułożył	1.0	u w o Z i2 w
nieprzydatnym	1.0	n i e p S i2 d a t n i2 m
stosem	1.0	s t o s e m
przynajmniej	1.0	p S i2 n a j m n i e j
etapów	1.0	e t a p u v
jedynego	1.0	j e d i2 n e g o
zamków	1.0	z a m k u v
pełnia	1.0	p e w n i a
sa	1.0	s a
książek	1.0	k tsj oc5 Z e k
bezmyślnie	1.0	b e z m i2 sj l n i e
szpitala	1.0	S p i t a l a
skorupy	1.0	s k o r u p i2
chrześcijaństwa	1.0	h Z e sj tsj i j a n~ s t f a
uroczystości	1.0	u r o tS i2 s t o sj tsj i
zadowolić	1.0	z a d o v o l j tsj
nieee	1.0	n i e e e
niemieckiego	1.0	n i e m i e c k i e g o
kominami	1.0	k o m i n a m i
pokonać	1.0	p o k o n a tsj
uwielbiała	1.0	u v i e l b i a w a
wszechistnienia	1.0	v S e h i s t n i e n i a
zasługują	1.0	z a s w u g u j oc5
emulsji	1.0	e m u l s j i
wieszczbę	1.0	v i e S tS b e
piekle	1.0	p i e k l e
willi	1.0	v i l l j
pociesza	1.0	p o tsj e S a
ojcowie	1.0	o j c o v i e
formosusa	1.0	f o r m o s u s a
serce	1.0	s e r c e
panować	1.0	p a n o v a tsj
scenariusze	1.0	s c e n a r j u S e
posępne	1.0	p o s eo5 p n e
fundamentalnej	1.0	f u n d a m e n t a l n e j
wdzięku	1.0	v dzj eo5 k u
wieszczbiarzowi	1.0	v i e S tS b i a Z o v i
zamarli	1.0	z a m a r l j
rzymu	1.0	Z i2 m u
chełmiński	1.0	h e w m i n~ s k i
sentencje	1.0	s e n t e n c j e
brutalną	1.0	b r u t a l n oc5
mity	1.0	m i t i2
ludwik	1.0	l u d v i k
klęsk	1.0	k l eo5 s k
gq	1.0	g k
śmiesznie	1.0	sj m i e S n i e
opatruje	1.0	o p a t r u j e
barwiący	1.0	b a r v i oc5 c i2
pięknym	1.0	p i eo5 k n i2 m
czeczenii	1.0	tS e tS e n i i
nieposłuszny	1.0	n i e p o s w u S n i2
ottona	1.0	o t t o n a
pokutnik	1.0	p o k u t n i k
na	1.0	n a
uczenia	1.0	u tS e n i a
uczy	1.0	u tS i2
najsłabszego	1.0	n a j s w a b S e g o
obdarzyć	1.0	o b d a Z i2 tsj
kamerami	1.0	k a m e r a m i
narkotyki	1.0	n a r k o t i2 k i
suknem	1.0	s u k n e m
piękne	1.0	p i eo5 k n e
stopa	1.0	s t o p a
przesuwając	1.0	p S e s u v a j oc5 c
oraz	1.0	o r a z
wszechobecnych	1.0	v S e h o b e c n i2 h
przesądzony	1.0	p S e s oc5 dz o n i2
słów	1.0	s w u v
lewym	1.0	l e v i2 m
rota	1.0	r o t a
powder	1.0	p o v d e r
kijowie-	1.0	k i j o v i e e
zbliżają	1.0	z b l j Z a j oc5
polatam	1.0	p o l a t a m
czarek	1.0	tS a r e k
postępu	1.0	p o s t eo5 p u
obiecał	1.0	o b i e c a w
powtarzają	1.0	p o v t a Z a j oc5
hawajach	1.0	h a v a j a h
trafił	1.0	t r a f i w
długich	1.0	d w u g i h
wybiórczą	1.0	v i2 b i u r tS oc5
zdawkowo	1.0	z d a v k o v o
fali-	1.0	f a l j e
mieczem	1.0	m i e tS e m
nieprawdopodobnie	1.0	n i e p r a v d o p o d o b n i e
ponadto	1.0	p o n a d t o
oznaczenie	1.0	o z n a tS e n i e
badań	1.0	b a d a n~
szelestną	1.0	S e l e s t n oc5
owo	1.0	o v o
mężczyzna	1.0	m eo5 Z tS i2 z n a
kuleczki	1.0	k u l e tS k i
chciał	1.0	h tsj a w
ucha	1.0	u h a
przeprawach	1.0	p S e p r a v a h
czynną	1.0	tS i2 n n oc5
ogniska	1.0	o g n i s k a
odjąć	1.0	o d j oc5 tsj
zaproponował	1.0	z a p r o p o n o v a w
godziny	1.0	g o dzj i n i2
sprzed	1.0	s p S e d
skutki	1.0	s k u t k i
żyjątek	1.0	Z i2 j oc5 t e k
gotowych	1.0	g o t o v i2 h
wolę	1.0	v o l e
goldinga	1.0	g o l d j n g a
krzywulą	1.0	k S i2 v u l oc5
firm	1.0	f i r m
wątpliwa	1.0	v oc5 t p l j v a
palą	1.0	p a l oc5
wyrazu-	1.0	v i2 r a z u
należną	1.0	n a l e Z n oc5
żarnowieckie	1.0	Z a r n o v i e c k i e
przestaje	1.0	p S e s t a j e
aristajosa	1.0	a r j s t a j o s a
pereł	1.0	p e r e w
mikroskopijnego	1.0	m i k r o s k o p i j n e g o
arcydzieła	1.0	a r c i2 dzj e w a
backupy	1.0	b a c k u p i2
znów	1.0	z n u v
racji	1.0	r a c j i
obdarzonym	1.0	o b d a Z o n i2 m
płaszcz	1.0	p w a S tS
wybierają	1.0	v i2 b i e r a j oc5
rozłączył	1.0	r o z w oc5 tS i2 w
urlopie	1.0	u r l o p i e
ludwikowi	1.0	l u d v i k o v i
pomidorowej	1.0	p o m i d o r o v e j
wydumanego	1.0	v i2 d u m a n e g o
przepis	1.0	p S e p i s
żywym	1.0	Z i2 v i2 m
zaprosił	1.0	z a p r o sj i w
faceci	1.0	f a c e tsj i
archeologicznych	1.0	a r h e o l o g i tS n i2 h
jedni	1.0	j e d n i
samej	1.0	s a m e j
dopuszczał	1.0	d o p u S tS a w
józefie	1.0	j u z e f i e
sakramencie	1.0	s a k r a m e n tsj e
ogórków	1.0	o g u r k u v
georga	1.0	g e o r g a
donikąd	1.0	d o n i k oc5 d
dobre	1.0	d o b r e
mitologia	1.0	m i t o l o g i a
wszechstronnych	1.0	v S e h s t r o n n i2 h
dowcipem	1.0	d o v tsj i p e m
bezceremonialnie	1.0	b e z c e r e m o n i a l n i e
dobro	1.0	d o b r o
tworząc	1.0	t f o Z oc5 c
stojącej	1.0	s t o j oc5 c e j
nazwy	1.0	n a z v i2
niemu	1.0	n i e m u
kolorowy	1.0	k o l o r o v i2
dane	1.0	d a n e
skuteczność	1.0	s k u t e tS n o sj tsj
stage	1.0	s t a g e
wolne	1.0	v o l n e
stworzenia	1.0	s t f o Z e n i a
przez	1.0	p S e z
udanej	1.0	u d a n e j
zajrzeć	1.0	z a j Z e tsj
próbka	1.0	p r u b k a
upływem	1.0	u p w i2 v e m
elementarną	1.0	e l e m e n t a r n oc5
nogą	1.0	n o g oc5
nieżywych	1.0	n i e Z i2 v i2 h
umrzeć	1.0	u m Z e tsj
sopot	1.0	s o p o t
przeszywała	1.0	p S e S i2 v a w a
wyziera	1.0	v i2 zj e r a
kolorów-	1.0	k o l o r u v
przyszłego	1.0	p S i2 S w e g o
upodobnić	1.0	u p o d o b n i tsj
zawdzięczasz	1.0	z a v dzj eo5 tS a S
wyników	1.0	v i2 n i k u v
podziękować	1.0	p o dzj eo5 k o v a tsj
napadają	1.0	n a p a d a j oc5
prawdziwego	1.0	p r a v dzj i v e g o
zapadł	1.0	z a p a d w
